key,english,before,after,reason
app.sidebar.skills,Skills,Skill,技能,agent-skill-display
app.sidebar.agents,Agents,Agent,智能体,agent-skill-display
app.approvals.selectACompanyFirst,Select a company first.,请先选择公司。,请先选择组织。,contextual-correction
app.approvalPayload.skills,Skills,Skill,技能,agent-skill-display
app.pages.companies,Companies,公司,组织,contextual-correction
app.pages.agents,Agents,Agent,智能体,agent-skill-display
app.approvalTypes.hire_agent,Hire Agent,聘用 Agent,聘用智能体,agent-skill-display
app.dashboard.agentsEnabled,Agents Enabled,已启用 Agent,已启用智能体,agent-skill-display
app.dashboard.welcome,Welcome to Paperclip. Set up your first company and agent to get started.,欢迎使用 Paperclip。设置你的第一家公司和一个 agent 即可开始。,欢迎使用 Paperclip。创建你的第一个组织和智能体即可开始。,agent-skill-display;contextual-correction
app.dashboard.createOrSelect,Create or select a company to view the dashboard.,创建或选择一家公司以查看仪表盘。,创建或选择一个组织以查看仪表盘。,contextual-correction
app.dashboard.noAgents,You have no agents.,尚无 Agent。,尚无智能体。,agent-skill-display
app.dashboard.agentsPaused,agents paused · ,Agent 已暂停,智能体已暂停,agent-skill-display
app.dashboard.agentsFromACompanyImportArrivePausedAsASafetyDefaultResumeTh,Agents from a company import arrive paused as a safety default. Resume them so assigned tasks can start.,从组织导入的 Agent 出于安全考虑默认暂停。恢复后，已分配的任务才能开始。,从组织导入的智能体出于安全考虑默认暂停。恢复后，已分配的任务才能开始。,agent-skill-display
app.dashboard.allAgentsInThisCompanyArePausedNothingWillRun,All agents in this company are paused — nothing will run.,此组织的所有 Agent 均已暂停，不会有任务运行。,此组织的所有智能体均已暂停，不会有任务运行。,agent-skill-display
app.dashboard.reviewAgents,Review agents,查看 Agent,查看智能体,agent-skill-display
app.dashboard.resumeAtLeastOneAgentToLetAssignedTasksStart,Resume at least one agent to let assigned tasks start.,至少恢复一个 Agent，已分配的任务才能开始。,至少恢复一个智能体，已分配的任务才能开始。,agent-skill-display
app.dashboard.welcomeToOrganization,Welcome to Paperclip. Set up your first organization and agent to get started.,欢迎使用 Paperclip。先创建组织和 Agent。,欢迎使用 Paperclip。先创建组织和智能体。,agent-skill-display
app.dashboard.importedAgentPausedOne,{{value}} imported agent is paused and will not run.,{{value}} 个导入的 Agent 已暂停，不会运行。,{{value}} 个导入的智能体已暂停，不会运行。,agent-skill-display
app.dashboard.importedAgentPausedMany,{{value}} imported agents are paused and will not run.,{{value}} 个导入的 Agent 已暂停，不会运行。,{{value}} 个导入的智能体已暂停，不会运行。,agent-skill-display
app.dashboard.importedAgentsPausedDescription,Agents from an organization import arrive paused as a safety default. Resume them so assigned tasks can start.,从组织导入的 Agent 出于安全考虑默认暂停。恢复后，已分配的任务才能开始。,从组织导入的智能体出于安全考虑默认暂停。恢复后，已分配的任务才能开始。,agent-skill-display
app.dashboard.allAgentsPaused,All agents in this organization are paused — nothing will run.,此组织的所有 Agent 均已暂停，不会有任务运行。,此组织的所有智能体均已暂停，不会有任务运行。,agent-skill-display
app.dashboard.budgetPauseSummary,{{agents}} agents paused · {{projects}} projects paused · {{approvals}} pending budget approvals,{{agents}} 个 Agent 已暂停 · {{projects}} 个项目已暂停 · {{approvals}} 项预算审批待处理,{{agents}} 个智能体已暂停 · {{projects}} 个项目已暂停 · {{approvals}} 项预算审批待处理,agent-skill-display
app.common.nouns.agent,Agent,Agent,智能体,agent-skill-display
app.common.nouns.agents,Agents,Agent,智能体,agent-skill-display
app.common.nouns.skill,Skill,Skill,技能,agent-skill-display
app.common.nouns.skills,Skills,Skill,技能,agent-skill-display
app.common.messages.unknownAgent,Unknown agent,未知 Agent,未知智能体,agent-skill-display
app.common.messages.noAgentsFound,No agents found.,未找到 Agent。,未找到智能体。,agent-skill-display
app.goals.level.agent,agent,Agent,智能体,agent-skill-display
app.goals.levelLabel.agent,Agent,Agent,智能体,agent-skill-display
app.goals.levelTitle.agent,Agent,Agent,智能体,agent-skill-display
app.inbox.agentPolicy.modes.openTitle,Any of my agents,我的任意 Agent,我的任意智能体,agent-skill-display
app.inbox.agentPolicy.modes.openDescription,Let any agent you manage archive tasks out of your inbox.,允许你管理的任意 Agent 将任务从你的收件箱中归档。,允许你管理的任意智能体将任务从你的收件箱中归档。,agent-skill-display
